temperature,humidity,wind_speed,rainfall_7d,consecutive_dry_days,soil_moisture,land_type,month,risk_score,risk_level,fire_occurred
30.6,56.2,11.8,0.0,15,60.3,1,7,0.893,Critical,1
30.8,52.0,9.9,2.9,1,95.0,0,8,0.456,Medium,0
24.0,82.8,6.8,7.2,3,87.0,0,1,0.042,Low,1
25.9,93.3,0.9,3.9,3,88.0,0,3,0.106,Low,0
34.1,35.3,9.8,0.0,22,44.5,1,8,0.902,Critical,0
28.5,79.4,7.6,4.7,4,86.7,0,4,0.135,Low,0
24.7,79.1,12.7,22.1,4,84.9,1,12,0.089,Low,0
27.7,85.8,5.6,5.9,2,91.3,0,12,0.041,Low,0
24.9,77.4,16.3,22.1,2,90.0,0,3,0.07,Low,0
24.2,75.8,8.0,17.8,4,84.6,0,10,0.048,Low,0
30.2,84.6,10.4,1.7,16,57.6,0,11,0.495,Medium,0
25.5,75.1,13.9,15.6,0,95.0,1,11,0.032,Low,0
32.3,35.0,28.3,0.0,13,66.2,0,7,0.842,Critical,1
24.0,77.8,8.7,4.9,0,94.5,1,10,0.198,Low,0
27.7,77.9,14.3,4.1,4,86.3,1,5,0.063,Low,0
28.0,82.3,8.5,29.3,3,89.0,1,11,0.09,Low,1
25.9,86.8,11.4,16.9,0,95.0,0,3,0.0,Low,0
28.6,68.2,9.9,4.2,3,89.3,0,10,0.265,Low,0
28.9,34.2,12.2,3.1,2,92.0,1,7,0.66,High,0
32.7,41.4,27.1,0.0,5,86.4,0,8,0.674,High,1
29.7,72.1,3.5,10.7,4,87.3,0,4,0.155,Low,0
27.0,89.6,6.7,19.2,2,91.0,0,11,0.136,Low,0
27.0,79.5,12.9,45.9,4,86.0,0,1,0.013,Low,0
25.1,73.2,7.6,7.5,1,92.6,1,3,0.0,Low,1
27.1,68.9,10.9,18.2,4,86.1,0,2,0.078,Low,0
28.0,95.0,12.6,23.8,3,89.0,1,2,0.252,Low,1
27.3,71.2,8.1,5.1,1,93.7,1,2,0.048,Low,0
26.1,86.7,8.8,3.6,4,85.5,0,10,0.0,Low,0
30.3,72.1,7.7,20.4,1,95.0,0,4,0.176,Low,0
36.5,41.9,1.8,0.0,17,58.2,0,7,0.783,Critical,0
30.0,73.1,2.8,0.0,9,75.0,0,7,0.461,Medium,1
28.4,82.8,5.6,0.7,9,74.2,1,4,0.42,Medium,1
27.1,95.0,11.2,1.1,6,81.1,0,10,0.195,Low,0
