epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.595,1.97041,2.30694,1.94591,0.35658,0.20468,0.17068,0.06092,2.13271,2.49667,2.124,0.0670753,0.000332572,0.000332572
2,345.122,1.94011,2.10957,1.9206,0.32993,0.29671,0.23764,0.09529,2.10812,2.38331,2.08933,0.0340687,0.000659313,0.000659313
3,511.222,1.90968,2.04774,1.89034,0.47616,0.33098,0.31961,0.13171,1.99734,1.88252,1.96378,0.00105556,0.000979454,0.000979454
4,672.971,1.85906,1.96398,1.85701,0.50743,0.34356,0.36305,0.16075,1.89322,1.79356,1.91824,0.0009703,0.0009703,0.0009703
5,834.332,1.83278,1.85176,1.82147,0.53387,0.38213,0.39307,0.17251,1.89908,1.70928,1.88143,0.0009604,0.0009604,0.0009604
6,996.153,1.78755,1.78104,1.77768,0.53701,0.38981,0.42759,0.19619,1.81326,1.6557,1.81165,0.0009505,0.0009505,0.0009505
7,1157.58,1.76058,1.7373,1.75621,0.50938,0.38469,0.40156,0.18413,1.8011,1.62198,1.83095,0.0009406,0.0009406,0.0009406
8,1319.12,1.73255,1.68185,1.74829,0.55054,0.44849,0.47746,0.22245,1.76213,1.48434,1.76435,0.0009307,0.0009307,0.0009307
9,1480.75,1.69879,1.62514,1.7102,0.53716,0.44976,0.47746,0.22279,1.7612,1.50732,1.77568,0.0009208,0.0009208,0.0009208
10,1642.55,1.69521,1.60711,1.71177,0.52379,0.41811,0.43652,0.20675,1.77014,1.54,1.76545,0.0009109,0.0009109,0.0009109
11,1804,1.67583,1.56232,1.69683,0.51207,0.44717,0.46395,0.22372,1.74408,1.46605,1.75907,0.000901,0.000901,0.000901
12,1965.46,1.6533,1.53604,1.68929,0.60584,0.48132,0.52609,0.25804,1.71553,1.3589,1.71902,0.0008911,0.0008911,0.0008911
13,2126.93,1.65291,1.50954,1.67344,0.61713,0.47121,0.50691,0.24619,1.71323,1.36098,1.72276,0.0008812,0.0008812,0.0008812
14,2288.34,1.63629,1.48093,1.65688,0.59721,0.47988,0.52409,0.25775,1.68107,1.35677,1.72059,0.0008713,0.0008713,0.0008713
15,2449.74,1.62013,1.45702,1.65076,0.61294,0.49547,0.54474,0.26789,1.65364,1.27703,1.68062,0.0008614,0.0008614,0.0008614
16,2611.3,1.60086,1.41168,1.63509,0.63024,0.50087,0.55396,0.27909,1.63554,1.29151,1.6654,0.0008515,0.0008515,0.0008515
